question,reply,similarity,keyword_coverage
Who was Elminster?,"Elminster Aumar, the Sage of Shadowdale, is a renowned figure in our realm's history. He is known for his wisdom and vast knowledge. 

As per 'Elminster: An Unauthorized Biography', we find that Elminster was once released from a spell-stasis trap by a group of adventurers, around the year 759 DR. 

Interestingly, it's mentioned that Elminster has a hidden retreat within a floating metal sphere orbiting Coliar's central earthmote. This suggests he maintains multiple residences across Toril.",0.7662,0.4
What is the Weave in Forgotten Realms?,"Ah, adventurer! The Weave, as described in Oren bel Dannar's 'Musings on the Realms', is a fascinating concept indeed. It's an intricate fabric that serves as both a conduit for raw magic and the embodiment of Mystryl, the goddess of magic. 

In the Forgotten Realms, the Weave has played a significant role throughout history, shaping the use and understanding of magic across various editions of Dungeons & Dragons. Its existence is closely tied to the goddesses of light and darkness, Selûne and Shar. 

I encourage you to delve deeper into this captivating lore, adventurer! Perhaps you might even contribute your own insights to our ever-growing wiki. Remember, we welcome all who wish to share their knowledge about the Forgotten Realms.",0.6963,0.2
Who is Mystra?,"Ah, adventurer, you seek to understand Mystra, the Mother of All Magic. She was a greater deity and the second incarnation of the goddess of magic, who sacrificed herself to protect the Weave from Karsus's Folly. 

Mystra was destroyed by Helm during the Time of Troubles when she defied Ao's will and attempted to leave the Prime Material Plane. Later, Ao offered her position to Midnight, who accepted and took Mystra's name. 

Mystra was known for her constant shape-shifting and appeared in various forms, from a multicolored will-o'-wisp to a beautiful, willful young woman with hints of long-borne pain. Her avatar was Caitlan Moonsong, a graceful girl who wore plain ankle-length robes.",0.6915,0.6
What is Cormyr?,"Cormyr, my dear adventurer, is a realm in the Forgotten Realms, founded by Faerlthann Obarskyr with the permission of local elves. It's a land rich in history and culture, with a complex society, ruling class, common folk, military, and mages. 

The Cormyrean calendar began with the death of Ondeth Obarskyr, and Baerauble Etharr was appointed as the first royal wizard to the royal family. This land has seen many events, some chronicled in the sourcebook and novels dedicated to it. 

I encourage you, adventurer, to delve deeper into the annals of Cormyr's history, as there are tales of its novel, 'Cormyr: A Novel', which chronicles the end of King Azoun IV's rule. May your journey be enlightening!",0.7108,0.2
Who are the Harpers?,"The Harpers, adventurer, are a semi-secret organization founded at the Elven Court by Dathlue Mistwinter, the Lady Steel. They are known for their dedication to maintaining balance between nature and civilization, safeguarding lore, and acting against evil. Their members include various races and classes, such as warriors, rangers, druids, thieves, and mages. 

The High Harpers are a council of powerful individuals who plan the long-term goals of the Harpers. Notable members have included Elminster, Khelben 'Blackstaff' Arunsun, Laeral Silverhand, Alustriel Silverhand, and others. 

Harper agents, often referred to as scouts, are the field agents of the Harpers. They carry out missions of surveillance, reconnaissance, and infiltration across Faerûn. Agents are trained to be resourceful, skilled at acquiring new lore, and have divine boons associated with certain deities.",0.6675,0.6
What is the Sword Coast?,"The Sword Coast, my dear adventurer, is a vast and wild region along the western coast of Faerûn, known for its expansive tract of untamed wilderness and independent cities. It stretches from the River Dessarin to Baldur's Gate, and northward to Waterdeep, encompassing some of the most important cities in all the Realms. 

The Sword Coast is a land rich with history, geographical diversity, and a spirit that embodies courage, resourcefulness, and self-determination. It's home to verdant fields, dangerous badlands, vital rivers, and even fearsome monsters. 

Traveling through the Sword Coast can be perilous, with bandits, monstrous creatures, and raiders posing regular threats. However, cities like Daggerford and Baldur's Gate offer increased security and lawfulness as members of the Lords' Alliance.",0.84,0.8
Who is Drizzt Do'Urden?,"Adventurer, Drizzt Do'Urden is a drow renegade and the protagonist of R.A. Salvatore's Dark Elf trilogy. Born in Menzoberranzan, he grew up amidst the vile world of his dark kin but possessed honor beyond their unprincipled society. 

Drizzt was unique among the drow due to having lavender eyes and was spared from sacrifice at birth by his brother Dinin. He was later trained as a warrior by Zaknafein, who turned out to be his real father. 

Drizzt's exceptional skills as a fighter and his kind-hearted nature set him apart from the rest of his race. He eventually left Menzoberranzan in search of a life outside the city and the ways of the drow.",0.8026,0.8
What is the Underdark?,"The Underdark, my adventurer, is a vast subterranean realm, often associated with darkness and danger. It's a place where evil beings such as drow reside, and it has been explored in various sourcebooks. 

Interestingly, there exists an Upperdark, a part of the Underdark that lies approximately three miles below the surface of Toril. This is where surface dwellers and those from the Underdark most frequently meet. 

In the bustling city of Waterdeep, there's a tavern named The Underdark in the Trades Ward. Hidden within its depths lies a secret passage leading to Undermountain, accessible through a door concealed behind a rack of supplies.",0.8289,0.6
Who are the Red Wizards of Thay?,"The Red Wizards of Thay, once a powerful and influential magocratic ruling class, have transformed over time. Originally known for their cruel practices and arcane experiments, they are now a loosely organized chain of merchant enclaves. However, there remains a faction seeking to restore Thay to its former glory. 

Historically, the Red Wizards were known for their internal strife and intense rivalries among the Council of Zulkirs. After Szass Tam's takeover, they divided into two factions: those loyal to Thayan traditions and those seeking to overthrow him. 

Adventurer, remember that the Red Wizards are a formidable force in Faerûn. They have been involved in numerous battles of conquest against neighboring nations and often travel with powerful protectors. Be cautious when dealing with them.",0.8356,0.6
What is Candlekeep?,"Ah, adventurer, you seek information about Candlekeep. It's a unique establishment in Baldur's Gate, nestled within the Seatower district of the Lower City. Known for its enchanting products and magical candles, it has become quite renowned among various groups. 

One of its most celebrated items is the whispering candle, a fascinating creation that echoes any sounds heard during its crafting. This peculiar item has found favor with many, from the Baldurian patriarch to organizations like the Watch and the Guild. 

Intriguingly, Candlekeep also played a significant role in a past event, as depicted in the playtest module 'Confrontation at Candlekeep'. A cult of Asmodeus sought a powerful spell scroll hidden within its vaults by Mystra herself.",0.6297,0.2
